from,to,type
curl,httpuv,Suggests
curl,jsonlite,Suggests
curl,knitr,Suggests
curl,later,Suggests
curl,rmarkdown,Suggests
curl,spelling,Suggests
curl,testthat,Suggests
curl,webutils,Suggests
data.table,methods,Imports
data.table,bit,Suggests
data.table,bit64,Suggests
data.table,knitr,Suggests
data.table,markdown,Suggests
data.table,R.utils,Suggests
data.table,xts,Suggests
data.table,yaml,Suggests
data.table,zoo,Suggests
digest,utils,Imports
digest,rbenchmark,Suggests
digest,simplermarkdown,Suggests
digest,tinytest,Suggests
dplyr,cli,Imports
dplyr,generics,Imports
dplyr,glue,Imports
dplyr,lifecycle,Imports
dplyr,magrittr,Imports
dplyr,methods,Imports
dplyr,pillar,Imports
dplyr,R6,Imports
dplyr,rlang,Imports
dplyr,tibble,Imports
dplyr,tidyselect,Imports
dplyr,utils,Imports
dplyr,vctrs,Imports
dplyr,broom,Suggests
dplyr,covr,Suggests
dplyr,DBI,Suggests
dplyr,dbplyr,Suggests
dplyr,ggplot2,Suggests
dplyr,knitr,Suggests
dplyr,Lahman,Suggests
dplyr,lobstr,Suggests
dplyr,nycflights13,Suggests
dplyr,purrr,Suggests
dplyr,rmarkdown,Suggests
dplyr,RSQLite,Suggests
dplyr,stringi,Suggests
dplyr,testthat,Suggests
dplyr,tidyr,Suggests
dplyr,withr,Suggests
evaluate,callr,Suggests
evaluate,covr,Suggests
evaluate,ggplot2,Suggests
evaluate,knitr,Suggests
evaluate,lattice,Suggests
evaluate,methods,Suggests
evaluate,pkgload,Suggests
evaluate,ragg,Suggests
evaluate,rlang,Suggests
evaluate,testthat,Suggests
evaluate,withr,Suggests
farver,covr,Suggests
farver,testthat,Suggests
fastmap,testthat,Suggests
fastrmodels,xgboost,Imports
fastrmodels,testthat,Suggests
fontawesome,htmltools,Imports
fontawesome,rlang,Imports
fontawesome,covr,Suggests
fontawesome,dplyr,Suggests
fontawesome,gt,Suggests
fontawesome,knitr,Suggests
fontawesome,rsvg,Suggests
fontawesome,testthat,Suggests
fs,methods,Imports
fs,covr,Suggests
fs,crayon,Suggests
fs,knitr,Suggests
fs,pillar,Suggests
fs,rmarkdown,Suggests
fs,spelling,Suggests
fs,testthat,Suggests
fs,tibble,Suggests
fs,vctrs,Suggests
fs,withr,Suggests
furrr,future,Depends
furrr,globals,Imports
furrr,purrr,Imports
furrr,rlang,Imports
furrr,vctrs,Imports
furrr,carrier,Suggests
furrr,covr,Suggests
furrr,dplyr,Suggests
furrr,knitr,Suggests
furrr,parallelly,Suggests
furrr,testthat,Suggests
furrr,tidyselect,Suggests
future,digest,Imports
future,globals,Imports
future,listenv,Imports
future,parallel,Imports
future,parallelly,Imports
future,tools,Imports
future,utils,Imports
future,markdown,Suggests
future,methods,Suggests
future,R.rsp,Suggests
future,RhpcBLASctl,Suggests
generics,methods,Imports
generics,covr,Suggests
generics,pkgload,Suggests
generics,testthat,Suggests
generics,tibble,Suggests
generics,withr,Suggests
ggpath,cachem,Imports
ggpath,cli,Imports
ggpath,ggplot2,Imports
ggpath,grid,Imports
ggpath,magick,Imports
ggpath,memoise,Imports
ggpath,rlang,Imports
ggpath,S7,Imports
ggpath,covr,Suggests
ggpath,rsvg,Suggests
ggpath,testthat,Suggests
ggpath,vdiffr,Suggests
ggplot2,cli,Imports
ggplot2,grDevices,Imports
ggplot2,grid,Imports
ggplot2,gtable,Imports
ggplot2,isoband,Imports
ggplot2,lifecycle,Imports
ggplot2,rlang,Imports
ggplot2,S7,Imports
ggplot2,scales,Imports
ggplot2,stats,Imports
ggplot2,vctrs,Imports
ggplot2,withr,Imports
ggplot2,broom,Suggests
ggplot2,covr,Suggests
ggplot2,dplyr,Suggests
ggplot2,ggplot2movies,Suggests
ggplot2,hexbin,Suggests
ggplot2,Hmisc,Suggests
ggplot2,hms,Suggests
ggplot2,knitr,Suggests
ggplot2,mapproj,Suggests
ggplot2,maps,Suggests
ggplot2,MASS,Suggests
ggplot2,mgcv,Suggests
ggplot2,multcomp,Suggests
ggplot2,munsell,Suggests
ggplot2,nlme,Suggests
ggplot2,profvis,Suggests
ggplot2,quantreg,Suggests
ggplot2,quarto,Suggests
ggplot2,ragg,Suggests
ggplot2,RColorBrewer,Suggests
ggplot2,roxygen2,Suggests
ggplot2,rpart,Suggests
ggplot2,sf,Suggests
ggplot2,svglite,Suggests
ggplot2,testthat,Suggests
ggplot2,tibble,Suggests
ggplot2,vdiffr,Suggests
ggplot2,xml2,Suggests
globals,codetools,Imports
glue,methods,Imports
glue,crayon,Suggests
glue,DBI,Suggests
glue,dplyr,Suggests
glue,knitr,Suggests
glue,rlang,Suggests
glue,rmarkdown,Suggests
glue,RSQLite,Suggests
glue,testthat,Suggests
glue,vctrs,Suggests
glue,waldo,Suggests
glue,withr,Suggests
gsubfn,proto,Depends
gsubfn,boot,Suggests
gsubfn,chron,Suggests
gsubfn,grid,Suggests
gsubfn,lattice,Suggests
gsubfn,quantreg,Suggests
gsubfn,svUnit,Suggests
gsubfn,tcltk,Suggests
gsubfn,zoo,Suggests
gt,base64enc,Imports
gt,bigD,Imports
gt,bitops,Imports
gt,cli,Imports
gt,commonmark,Imports
gt,dplyr,Imports
gt,fs,Imports
gt,glue,Imports
gt,htmltools,Imports
gt,htmlwidgets,Imports
gt,juicyjuice,Imports
gt,magrittr,Imports
gt,markdown,Imports
gt,reactable,Imports
gt,rlang,Imports
gt,sass,Imports
gt,scales,Imports
gt,tidyselect,Imports
gt,vctrs,Imports
gt,xml2,Imports
gt,bit64,Suggests
gt,farver,Suggests
gt,fontawesome,Suggests
gt,ggplot2,Suggests
gt,grid,Suggests
gt,gtable,Suggests
gt,katex,Suggests
gt,knitr,Suggests
gt,lubridate,Suggests
gt,magick,Suggests
gt,paletteer,Suggests
gt,RColorBrewer,Suggests
gt,rmarkdown,Suggests
gt,rsvg,Suggests
gt,rvest,Suggests
gt,shiny,Suggests
gt,testthat,Suggests
gt,tidyr,Suggests
gt,webshot2,Suggests
gt,withr,Suggests
gtable,cli,Imports
gtable,glue,Imports
gtable,grid,Imports
gtable,lifecycle,Imports
gtable,rlang,Imports
gtable,stats,Imports
gtable,covr,Suggests
gtable,ggplot2,Suggests
gtable,knitr,Suggests
gtable,profvis,Suggests
gtable,rmarkdown,Suggests
gtable,testthat,Suggests
highr,xfun,Imports
highr,knitr,Suggests
highr,markdown,Suggests
highr,testit,Suggests
hms,cli,Imports
hms,lifecycle,Imports
hms,methods,Imports
hms,pkgconfig,Imports
hms,rlang,Imports
hms,vctrs,Imports
hms,crayon,Suggests
hms,lubridate,Suggests
hms,pillar,Suggests
hms,testthat,Suggests
htmltools,base64enc,Imports
htmltools,digest,Imports
htmltools,fastmap,Imports
htmltools,grDevices,Imports
htmltools,rlang,Imports
htmltools,utils,Imports
htmltools,Cairo,Suggests
htmltools,markdown,Suggests
htmltools,ragg,Suggests
htmltools,shiny,Suggests
htmltools,testthat,Suggests
htmltools,withr,Suggests
htmlwidgets,grDevices,Imports
htmlwidgets,htmltools,Imports
htmlwidgets,jsonlite,Imports
htmlwidgets,knitr,Imports
htmlwidgets,rmarkdown,Imports
htmlwidgets,yaml,Imports
htmlwidgets,testthat,Suggests
isoband,cli,Imports
isoband,grid,Imports
isoband,rlang,Imports
isoband,utils,Imports
isoband,cpp11,LinkingTo
isoband,bench,Suggests
isoband,covr,Suggests
isoband,ggplot2,Suggests
isoband,knitr,Suggests
isoband,magick,Suggests
isoband,rmarkdown,Suggests
isoband,sf,Suggests
isoband,testthat,Suggests
isoband,xml2,Suggests
janitor,dplyr,Imports
janitor,hms,Imports
janitor,lifecycle,Imports
janitor,lubridate,Imports
janitor,magrittr,Imports
janitor,purrr,Imports
janitor,rlang,Imports
janitor,snakecase,Imports
janitor,stringi,Imports
janitor,stringr,Imports
janitor,tidyr,Imports
janitor,tidyselect,Imports
janitor,dbplyr,Suggests
janitor,knitr,Suggests
janitor,rmarkdown,Suggests
janitor,RSQLite,Suggests
janitor,sf,Suggests
janitor,testthat,Suggests
janitor,tibble,Suggests
janitor,tidygraph,Suggests
jquerylib,htmltools,Imports
jquerylib,testthat,Suggests
jsonlite,methods,Depends
jsonlite,httr,Suggests
jsonlite,knitr,Suggests
jsonlite,R.rsp,Suggests
jsonlite,rmarkdown,Suggests
jsonlite,sf,Suggests
jsonlite,testthat,Suggests
jsonlite,vctrs,Suggests
juicyjuice,V8,Imports
juicyjuice,testthat,Suggests
knitr,evaluate,Imports
knitr,highr,Imports
knitr,methods,Imports
knitr,tools,Imports
knitr,xfun,Imports
knitr,yaml,Imports
knitr,bslib,Suggests
knitr,DBI,Suggests
knitr,digest,Suggests
knitr,formatR,Suggests
knitr,gifski,Suggests
knitr,gridSVG,Suggests
knitr,htmlwidgets,Suggests
knitr,jpeg,Suggests
knitr,JuliaCall,Suggests
knitr,litedown,Suggests
knitr,magick,Suggests
knitr,markdown,Suggests
knitr,otel,Suggests
knitr,otelsdk,Suggests
knitr,png,Suggests
knitr,ragg,Suggests
knitr,reticulate,Suggests
knitr,rgl,Suggests
knitr,rlang,Suggests
knitr,rmarkdown,Suggests
knitr,rstudioapi,Suggests
knitr,sass,Suggests
knitr,showtext,Suggests
knitr,styler,Suggests
knitr,svglite,Suggests
knitr,targets,Suggests
knitr,testit,Suggests
knitr,tibble,Suggests
knitr,tikzDevice,Suggests
knitr,tinytex,Suggests
knitr,webshot,Suggests
labeling,graphics,Imports
labeling,stats,Imports
lifecycle,cli,Imports
lifecycle,rlang,Imports
lifecycle,covr,Suggests
lifecycle,knitr,Suggests
lifecycle,lintr,Suggests
lifecycle,rmarkdown,Suggests
lifecycle,testthat,Suggests
lifecycle,tibble,Suggests
lifecycle,tidyverse,Suggests
lifecycle,tools,Suggests
lifecycle,vctrs,Suggests
lifecycle,withr,Suggests
lifecycle,xml2,Suggests
listenv,markdown,Suggests
listenv,R.rsp,Suggests
listenv,R.utils,Suggests
litedown,commonmark,Imports
litedown,utils,Imports
litedown,xfun,Imports
litedown,rbibutils,Suggests
litedown,rstudioapi,Suggests
litedown,testit,Suggests
litedown,tinyimg,Suggests
litedown,tinytex,Suggests
lubridate,methods,Depends
lubridate,generics,Imports
lubridate,timechange,Imports
lubridate,covr,Suggests
lubridate,knitr,Suggests
lubridate,rmarkdown,Suggests
lubridate,testthat,Suggests
lubridate,vctrs,Suggests
magick,curl,Imports
magick,magrittr,Imports
magick,Rcpp,Imports
magick,Rcpp,LinkingTo
magick,av,Suggests
magick,gapminder,Suggests
magick,ggplot2,Suggests
magick,gifski,Suggests
magick,IRdisplay,Suggests
magick,jsonlite,Suggests
magick,knitr,Suggests
magick,methods,Suggests
magick,pdftools,Suggests
magick,rmarkdown,Suggests
magick,rsvg,Suggests
magick,spelling,Suggests
magick,tesseract,Suggests
magick,webp,Suggests
magrittr,covr,Suggests
magrittr,knitr,Suggests
magrittr,rlang,Suggests
magrittr,rmarkdown,Suggests
magrittr,testthat,Suggests
markdown,litedown,Imports
markdown,utils,Imports
markdown,xfun,Imports
markdown,knitr,Suggests
markdown,RCurl,Suggests
markdown,rmarkdown,Suggests
markdown,yaml,Suggests
memoise,cachem,Imports
memoise,rlang,Imports
memoise,aws.s3,Suggests
memoise,covr,Suggests
memoise,digest,Suggests
memoise,googleAuthR,Suggests
memoise,googleCloudStorageR,Suggests
memoise,httr,Suggests
memoise,testthat,Suggests
mime,tools,Imports
nfl4th,cli,Imports
nfl4th,curl,Imports
nfl4th,data.table,Imports
nfl4th,dplyr,Imports
nfl4th,janitor,Imports
nfl4th,jsonlite,Imports
nfl4th,mgcv,Imports
nfl4th,nflfastR,Imports
nfl4th,nflreadr,Imports
nfl4th,purrr,Imports
nfl4th,rlang,Imports
nfl4th,stringr,Imports
nfl4th,tibble,Imports
nfl4th,tidyr,Imports
nfl4th,xgboost,Imports
nfl4th,future,Suggests
nfl4th,gt,Suggests
nfl4th,knitr,Suggests
nfl4th,nflplotR,Suggests
nfl4th,rmarkdown,Suggests
nfl4th,testthat,Suggests
nfl4th,tictoc,Suggests
nfl4th,withr,Suggests
nflfastR,cli,Imports
nflfastR,curl,Imports
nflfastR,data.table,Imports
nflfastR,dplyr,Imports
nflfastR,fastrmodels,Imports
nflfastR,furrr,Imports
nflfastR,future,Imports
nflfastR,glue,Imports
nflfastR,janitor,Imports
nflfastR,lifecycle,Imports
nflfastR,mgcv,Imports
nflfastR,nflreadr,Imports
nflfastR,progressr,Imports
nflfastR,rlang,Imports
nflfastR,stringr,Imports
nflfastR,tibble,Imports
nflfastR,tidyr,Imports
nflfastR,xgboost,Imports
nflfastR,DBI,Suggests
nflfastR,gsisdecoder,Suggests
nflfastR,nflseedR,Suggests
nflfastR,purrr,Suggests
nflfastR,rmarkdown,Suggests
nflfastR,RSQLite,Suggests
nflfastR,testthat,Suggests
nflplotR,cachem,Imports
nflplotR,cli,Imports
nflplotR,data.table,Imports
nflplotR,ggpath,Imports
nflplotR,ggplot2,Imports
nflplotR,grid,Imports
nflplotR,gt,Imports
nflplotR,lifecycle,Imports
nflplotR,magick,Imports
nflplotR,memoise,Imports
nflplotR,nflreadr,Imports
nflplotR,rlang,Imports
nflplotR,S7,Imports
nflplotR,scales,Imports
nflplotR,base64enc,Suggests
nflplotR,colorspace,Suggests
nflplotR,covr,Suggests
nflplotR,knitr,Suggests
nflplotR,rmarkdown,Suggests
nflplotR,rstudioapi,Suggests
nflplotR,rsvg,Suggests
nflplotR,testthat,Suggests
nflplotR,vdiffr,Suggests
nflplotR,webshot2,Suggests
nflreadr,cachem,Imports
nflreadr,cli,Imports
nflreadr,curl,Imports
nflreadr,data.table,Imports
nflreadr,glue,Imports
nflreadr,lifecycle,Imports
nflreadr,memoise,Imports
nflreadr,methods,Imports
nflreadr,rappdirs,Imports
nflreadr,rlang,Imports
nflreadr,tools,Imports
nflreadr,utils,Imports
nflreadr,arrow,Suggests
nflreadr,covr,Suggests
nflreadr,DT,Suggests
nflreadr,fs,Suggests
nflreadr,gh,Suggests
nflreadr,knitr,Suggests
nflreadr,piggyback,Suggests
nflreadr,progressr,Suggests
nflreadr,rmarkdown,Suggests
nflreadr,stringi,Suggests
nflreadr,testthat,Suggests
nflseedR,cli,Imports
nflseedR,data.table,Imports
nflseedR,dplyr,Imports
nflseedR,furrr,Imports
nflseedR,future,Imports
nflseedR,gsubfn,Imports
nflseedR,lifecycle,Imports
nflseedR,nflreadr,Imports
nflseedR,progressr,Imports
nflseedR,purrr,Imports
nflseedR,rlang,Imports
nflseedR,tibble,Imports
nflseedR,tidyr,Imports
nflseedR,gt,Suggests
nflseedR,knitr,Suggests
nflseedR,nflplotR,Suggests
nflseedR,rmarkdown,Suggests
nflseedR,scales,Suggests
nflseedR,testthat,Suggests
nflverse,cli,Imports
nflverse,crayon,Imports
nflverse,magrittr,Imports
nflverse,nfl4th,Imports
nflverse,nflfastR,Imports
nflverse,nflplotR,Imports
nflverse,nflreadr,Imports
nflverse,nflseedR,Imports
nflverse,rlang,Imports
nflverse,rstudioapi,Imports
nflverse,testthat,Suggests
parallelly,parallel,Imports
parallelly,tools,Imports
parallelly,utils,Imports
parallelly,base64enc,Suggests
parallelly,commonmark,Suggests
pillar,cli,Imports
pillar,glue,Imports
pillar,lifecycle,Imports
pillar,rlang,Imports
pillar,utf8,Imports
pillar,utils,Imports
pillar,vctrs,Imports
pillar,bit64,Suggests
pillar,DBI,Suggests
pillar,debugme,Suggests
pillar,DiagrammeR,Suggests
pillar,dplyr,Suggests
pillar,formattable,Suggests
pillar,ggplot2,Suggests
pillar,knitr,Suggests
pillar,lubridate,Suggests
pillar,nanotime,Suggests
pillar,nycflights13,Suggests
pillar,palmerpenguins,Suggests
pillar,rmarkdown,Suggests
pillar,scales,Suggests
pillar,stringi,Suggests
pillar,survival,Suggests
pillar,testthat,Suggests
pillar,tibble,Suggests
pillar,units,Suggests
pillar,vdiffr,Suggests
pillar,withr,Suggests
pkgconfig,utils,Imports
pkgconfig,covr,Suggests
pkgconfig,disposables,Suggests
pkgconfig,testthat,Suggests
progressr,digest,Imports
progressr,utils,Imports
progressr,base64enc,Suggests
progressr,beepr,Suggests
progressr,cli,Suggests
progressr,commonmark,Suggests
progressr,crayon,Suggests
progressr,doFuture,Suggests
progressr,foreach,Suggests
progressr,furrr,Suggests
progressr,future,Suggests
progressr,future.apply,Suggests
progressr,graphics,Suggests
progressr,ntfy,Suggests
progressr,pbmcapply,Suggests
progressr,plyr,Suggests
progressr,progress,Suggests
progressr,purrr,Suggests
progressr,RPushbullet,Suggests
progressr,rstudioapi,Suggests
progressr,shiny,Suggests
progressr,tcltk,Suggests
progressr,tools,Suggests
proto,covr,Suggests
proto,testthat,Suggests
purrr,cli,Imports
purrr,lifecycle,Imports
purrr,magrittr,Imports
purrr,rlang,Imports
purrr,vctrs,Imports
purrr,cli,LinkingTo
purrr,carrier,Suggests
purrr,covr,Suggests
purrr,dplyr,Suggests
purrr,httr,Suggests
purrr,knitr,Suggests
purrr,lubridate,Suggests
purrr,mirai,Suggests
purrr,rmarkdown,Suggests
purrr,testthat,Suggests
purrr,tibble,Suggests
purrr,tidyselect,Suggests
R6,lobstr,Suggests
R6,testthat,Suggests
rappdirs,covr,Suggests
rappdirs,roxygen2,Suggests
rappdirs,testthat,Suggests
rappdirs,withr,Suggests
Rcpp,methods,Imports
Rcpp,utils,Imports
Rcpp,inline,Suggests
Rcpp,pkgKitten,Suggests
Rcpp,rbenchmark,Suggests
Rcpp,tinytest,Suggests
reactable,digest,Imports
reactable,htmltools,Imports
reactable,htmlwidgets,Imports
reactable,jsonlite,Imports
reactable,reactR,Imports
reactable,covr,Suggests
reactable,crosstalk,Suggests
reactable,dplyr,Suggests
reactable,fontawesome,Suggests
reactable,knitr,Suggests
reactable,leaflet,Suggests
reactable,MASS,Suggests
reactable,rmarkdown,Suggests
reactable,shiny,Suggests
reactable,sparkline,Suggests
reactable,testthat,Suggests
reactable,tippy,Suggests
reactable,V8,Suggests
reactR,htmltools,Imports
reactR,htmlwidgets,Suggests
reactR,jsonlite,Suggests
reactR,knitr,Suggests
reactR,rmarkdown,Suggests
reactR,shiny,Suggests
reactR,usethis,Suggests
reactR,V8,Suggests
rlang,utils,Imports
rlang,cli,Suggests
rlang,covr,Suggests
rlang,crayon,Suggests
rlang,desc,Suggests
rlang,fs,Suggests
rlang,glue,Suggests
rlang,knitr,Suggests
rlang,magrittr,Suggests
rlang,methods,Suggests
rlang,pillar,Suggests
rlang,pkgload,Suggests
rlang,rmarkdown,Suggests
rlang,stats,Suggests
rlang,testthat,Suggests
rlang,tibble,Suggests
rlang,usethis,Suggests
rlang,vctrs,Suggests
rlang,withr,Suggests
rmarkdown,bslib,Imports
rmarkdown,evaluate,Imports
rmarkdown,fontawesome,Imports
rmarkdown,htmltools,Imports
rmarkdown,jquerylib,Imports
rmarkdown,jsonlite,Imports
rmarkdown,knitr,Imports
rmarkdown,methods,Imports
rmarkdown,tinytex,Imports
rmarkdown,tools,Imports
rmarkdown,utils,Imports
rmarkdown,xfun,Imports
rmarkdown,yaml,Imports
rmarkdown,cleanrmd,Suggests
rmarkdown,digest,Suggests
rmarkdown,downlit,Suggests
rmarkdown,dygraphs,Suggests
rmarkdown,fs,Suggests
rmarkdown,katex,Suggests
rmarkdown,rsconnect,Suggests
rmarkdown,sass,Suggests
rmarkdown,shiny,Suggests
rmarkdown,testthat,Suggests
rmarkdown,tibble,Suggests
rmarkdown,vctrs,Suggests
rmarkdown,withr,Suggests
rmarkdown,xml2,Suggests
rstudioapi,clipr,Suggests
rstudioapi,covr,Suggests
rstudioapi,curl,Suggests
rstudioapi,jsonlite,Suggests
rstudioapi,knitr,Suggests
rstudioapi,R6,Suggests
rstudioapi,rmarkdown,Suggests
rstudioapi,testthat,Suggests
rstudioapi,withr,Suggests
S7,utils,Imports
S7,bench,Suggests
S7,callr,Suggests
S7,covr,Suggests
S7,knitr,Suggests
S7,methods,Suggests
S7,rmarkdown,Suggests
S7,testthat,Suggests
S7,tibble,Suggests
sass,fs,Imports
sass,htmltools,Imports
sass,R6,Imports
sass,rappdirs,Imports
sass,rlang,Imports
sass,curl,Suggests
sass,knitr,Suggests
sass,rmarkdown,Suggests
sass,shiny,Suggests
sass,testthat,Suggests
sass,withr,Suggests
scales,cli,Imports
scales,farver,Imports
scales,glue,Imports
scales,labeling,Imports
scales,lifecycle,Imports
scales,R6,Imports
scales,RColorBrewer,Imports
scales,rlang,Imports
scales,viridisLite,Imports
scales,bit64,Suggests
scales,covr,Suggests
scales,dichromat,Suggests
scales,ggplot2,Suggests
scales,hms,Suggests
scales,stringi,Suggests
scales,testthat,Suggests
snakecase,stringi,Imports
snakecase,stringr,Imports
snakecase,covr,Suggests
snakecase,knitr,Suggests
snakecase,magrittr,Suggests
snakecase,purrrlyr,Suggests
snakecase,rmarkdown,Suggests
snakecase,testthat,Suggests
snakecase,tibble,Suggests
stringi,stats,Imports
stringi,tools,Imports
stringi,utils,Imports
stringr,cli,Imports
stringr,glue,Imports
stringr,lifecycle,Imports
stringr,magrittr,Imports
stringr,rlang,Imports
stringr,stringi,Imports
stringr,vctrs,Imports
stringr,covr,Suggests
stringr,dplyr,Suggests
stringr,gt,Suggests
stringr,htmltools,Suggests
stringr,htmlwidgets,Suggests
stringr,knitr,Suggests
stringr,rmarkdown,Suggests
stringr,testthat,Suggests
stringr,tibble,Suggests
tibble,cli,Imports
tibble,lifecycle,Imports
tibble,magrittr,Imports
tibble,methods,Imports
tibble,pillar,Imports
tibble,pkgconfig,Imports
tibble,rlang,Imports
tibble,utils,Imports
tibble,vctrs,Imports
tibble,bench,Suggests
tibble,bit64,Suggests
tibble,blob,Suggests
tibble,brio,Suggests
tibble,callr,Suggests
tibble,DiagrammeR,Suggests
tibble,dplyr,Suggests
tibble,evaluate,Suggests
tibble,formattable,Suggests
tibble,ggplot2,Suggests
tibble,here,Suggests
tibble,hms,Suggests
tibble,htmltools,Suggests
tibble,knitr,Suggests
tibble,lubridate,Suggests
tibble,nycflights13,Suggests
tibble,pkgload,Suggests
tibble,purrr,Suggests
tibble,rmarkdown,Suggests
tibble,stringi,Suggests
tibble,testthat,Suggests
tibble,tidyr,Suggests
tibble,withr,Suggests
tidyr,cli,Imports
tidyr,dplyr,Imports
tidyr,glue,Imports
tidyr,lifecycle,Imports
tidyr,magrittr,Imports
tidyr,purrr,Imports
tidyr,rlang,Imports
tidyr,stringr,Imports
tidyr,tibble,Imports
tidyr,tidyselect,Imports
tidyr,utils,Imports
tidyr,vctrs,Imports
tidyr,cpp11,LinkingTo
tidyr,covr,Suggests
tidyr,data.table,Suggests
tidyr,knitr,Suggests
tidyr,readr,Suggests
tidyr,repurrrsive,Suggests
tidyr,rmarkdown,Suggests
tidyr,testthat,Suggests
tidyselect,cli,Imports
tidyselect,glue,Imports
tidyselect,lifecycle,Imports
tidyselect,rlang,Imports
tidyselect,vctrs,Imports
tidyselect,withr,Imports
tidyselect,covr,Suggests
tidyselect,crayon,Suggests
tidyselect,dplyr,Suggests
tidyselect,knitr,Suggests
tidyselect,magrittr,Suggests
tidyselect,rmarkdown,Suggests
tidyselect,stringr,Suggests
tidyselect,testthat,Suggests
tidyselect,tibble,Suggests
timechange,cpp11,LinkingTo
timechange,knitr,Suggests
timechange,testthat,Suggests
tinytex,xfun,Imports
tinytex,rstudioapi,Suggests
tinytex,testit,Suggests
utf8,cli,Suggests
utf8,covr,Suggests
utf8,knitr,Suggests
utf8,rlang,Suggests
utf8,rmarkdown,Suggests
utf8,testthat,Suggests
utf8,withr,Suggests
V8,curl,Imports
V8,jsonlite,Imports
V8,Rcpp,Imports
V8,utils,Imports
V8,Rcpp,LinkingTo
V8,knitr,Suggests
V8,rmarkdown,Suggests
V8,testthat,Suggests
vctrs,cli,Imports
vctrs,glue,Imports
vctrs,lifecycle,Imports
vctrs,rlang,Imports
vctrs,bit64,Suggests
vctrs,covr,Suggests
vctrs,crayon,Suggests
vctrs,dplyr,Suggests
vctrs,generics,Suggests
vctrs,knitr,Suggests
vctrs,pillar,Suggests
vctrs,pkgdown,Suggests
vctrs,rmarkdown,Suggests
vctrs,testthat,Suggests
vctrs,tibble,Suggests
vctrs,waldo,Suggests
vctrs,withr,Suggests
vctrs,xml2,Suggests
vctrs,zeallot,Suggests
viridisLite,covr,Suggests
viridisLite,ggplot2,Suggests
viridisLite,hexbin,Suggests
viridisLite,testthat,Suggests
withr,graphics,Imports
withr,grDevices,Imports
withr,callr,Suggests
withr,DBI,Suggests
withr,knitr,Suggests
withr,methods,Suggests
withr,rlang,Suggests
withr,rmarkdown,Suggests
withr,RSQLite,Suggests
withr,testthat,Suggests
xfun,grDevices,Imports
xfun,stats,Imports
xfun,tools,Imports
xfun,codetools,Suggests
xfun,commonmark,Suggests
xfun,curl,Suggests
xfun,data.table,Suggests
xfun,jsonlite,Suggests
xfun,knitr,Suggests
xfun,litedown,Suggests
xfun,magick,Suggests
xfun,methods,Suggests
xfun,mime,Suggests
xfun,pak,Suggests
xfun,parallel,Suggests
xfun,qs2,Suggests
xfun,remotes,Suggests
xfun,rstudioapi,Suggests
xfun,testit,Suggests
xfun,tinytex,Suggests
xfun,xml2,Suggests
xfun,yaml,Suggests
xgboost,data.table,Imports
xgboost,jsonlite,Imports
xgboost,Matrix,Imports
xgboost,methods,Imports
xgboost,Ckmeans.1d.dp,Suggests
xgboost,DiagrammeR,Suggests
xgboost,DiagrammeRsvg,Suggests
xgboost,float,Suggests
xgboost,ggplot2,Suggests
