venue_id	name	active	city	state	timezone	capacity	roof_type	turf_type	left_line	left_field	left_center	center	right_center	right_field	right_line	games	first_season	last_season	seasons_used
13	Ameriquest Field	1	Arlington	Texas	America/Chicago	48911	Open	Grass	332	\N	390	400	407	381	325	1156	2006	2019	14
4169	loanDepot park	1	Miami	Florida	America/New_York	37446	Retractable	Artificial Turf	344	\N	386	407	392	\N	335	1132	2012	2026	15
16	Turner Field	0	Atlanta	Georgia	America/New_York	50062	Open	Grass	335	\N	380	401	390	\N	330	895	2006	2016	11
4705	Truist Park	1	Atlanta	Georgia	America/New_York	41149	Open	Grass	335	375	385	400	375	\N	325	748	2017	2026	10
5325	Globe Life Field	1	Arlington	Texas	America/Chicago	40000	Retractable	Artificial Turf	329	\N	372	407	374	\N	326	511	2020	2026	7
20	Dolphin Stadium	0	Miami	Florida	America/New_York	42531	Open	Grass	330	\N	385	434	385	\N	345	480	2006	2011	6
8	Hubert H. Humphrey Metrodome	0	Minneapolis	Minnesota	America/Chicago	48678	Dome	Artificial Turf	343	\N	385	408	367	\N	327	328	2006	2009	4
25	Shea Stadium	0	Flushing	New York	America/New_York	57333	Open	Grass	338	\N	371	410	371	\N	338	249	2006	2008	3
9	Yankee Stadium I	0	Bronx	New York	America/New_York	57768	Open	Grass	318	\N	399	408	385	\N	314	248	2006	2008	3
2721	Robert F. Kennedy Memorial Stadium	0	Washington	District of Columbia	America/New_York	45016	Open	Grass	336	\N	385	410	385	\N	336	162	2006	2007	2
2529	Sutter Health Park	1	Sacramento	California	America/Los_Angeles	14111	Open	Grass	330	\N	380	403	380	\N	325	126	2025	2026	2
2523	George M. Steinbrenner Field	1	Tampa	Florida	America/New_York	10387	Open	Grass	318	\N	\N	408	\N	\N	314	81	2025	2025	1
2756	Sahlen Field	1	Buffalo	New York	America/New_York	21050	Open	Grass	325	\N	371	404	367	\N	325	49	2020	2021	2
2536	TD Ballpark	1	Dunedin	Florida	America/New_York	5509	Open	Grass	335	375	\N	400	\N	375	327	21	2021	2021	1
2735	BB&T Ballpark	1	Williamsport	Pennsylvania	America/New_York	2500	Open	Grass	345	\N	\N	405	\N	\N	350	8	2017	2025	8
2397	Tokyo Dome	1	Tokyo	\N	Asia/Tokyo	55000	Dome	Artificial Turf	329	\N	375	400	375	\N	329	8	2008	2025	4
2701	Estadio de Beisbol Monterrey	1	Monterrey	MX	America/Monterrey	27000	Open	Grass	325	\N	\N	400	\N	\N	325	7	2018	2019	2
5381	London Stadium	1	London	\N	Europe/London	55000	Open	Artificial Turf	330	\N	\N	392	\N	\N	330	6	2019	2024	3
2504	The Ballpark at Disney's Wide World of Sports	1	Lake Buena Vista	Florida	America/New_York	9500	Open	Grass	340	\N	\N	400	\N	\N	330	6	2007	2008	2
5340	Estadio Alfredo Harp Helu	1	Mexico City	\N	America/Mexico_City	20062	Open	Artificial Turf	325	\N	\N	400	\N	\N	325	6	2023	2026	3
5355	Las Vegas Ballpark	1	Las Vegas	Nevada	America/Los_Angeles	10000	Open	Grass	340	\N	380	415	380	\N	340	6	2026	2026	1
2535	Hiram Bithorn Stadium	1	San Juan	Puerto Rico	America/Puerto_Rico	19778	Open	Artificial Turf	325	\N	375	404	375	\N	325	5	2010	2018	2
4589	Sydney Cricket Ground	0	Sydney	\N	Australia/Sydney	\N	Open	Grass	324	\N	\N	400	\N	\N	324	2	2014	2014	1
5150	Gocheok Sky Dome	1	Seoul	\N	Asia/Seoul	17000	Dome	Artificial Turf	325	\N	\N	400	\N	\N	325	2	2024	2024	1
5010	Fort Bragg Field	0	Fort Bragg	North Carolina	America/New_York	12500	Open	Grass	331	\N	387	405	387	\N	331	1	2016	2016	1
5365	TD Ameritrade Park	0	Omaha	Nebraska	America/Chicago	24505	Open	Grass	335	\N	375	408	375	\N	335	1	2019	2019	1
3949	Rickwood Field	1	Birmingham	Alabama	America/Chicago	10800	Open	Grass	321	\N	399	400	392	\N	332	1	2024	2024	1
6130	Bristol Motor Speedway	1	Bristol	Tennessee	America/New_York	\N	Open	Artificial Turf	330	378	385	400	375	360	330	1	2025	2025	1
