package,file,line,pattern,snippet,classification
Rcpp,R/exposeClass.R,137,fs_write,"writeLines("""", mcon)",benign
Rcpp,R/exposeClass.R,152,fs_write,"writeLines(sprintf(""    %s(\""%s\"", &%s::%s)"",",benign
Rcpp,R/exposeClass.R,157,fs_write,"writeLines(sprintf(""\nnamespace %s {\n"", ns),",benign
Rcpp,R/exposeClass.R,163,fs_write,"writeLines(sprintf(""    .property(\""%s\"", &%s, \""read-only field\"")"",",benign
Rcpp,R/exposeClass.R,166,fs_write,"writeLines(sprintf(""    .property(\""%s\"", &%s, &%s)"",",benign
Rcpp,R/exposeClass.R,170,fs_write,"writeLines("""", mcon)",benign
Rcpp,R/exposeClass.R,181,fs_write,"writeLines(sprintf(""    .method(\""%s\"", &%s::%s)"",",benign
Rcpp,R/exposeClass.R,186,fs_write,"writeLines(sprintf(""\nnamespace %s {\n"", ns),",benign
Rcpp,R/exposeClass.R,190,fs_write,"writeLines(sprintf(""    .method(\""%s\"", &%s)"",",benign
Rcpp,R/exposeClass.R,195,fs_write,"writeLines(""    ;\n}"", mcon)",benign
Rcpp,R/exposeClass.R,198,fs_write,"writeLines(sprintf(""} // %s"", ns), con) # close namespace",note
Rcpp,R/exposeClass.R,199,fs_write,"writeLines(readLines(mfile), con)",note
Rcpp,R/exposeClass.R,209,fs_write,"writeLines(sprintf(""%s <- setRcppClass(\""%s\""%s%s)"",",benign
Rcpp,R/tools.R,19,native_entry,".Call(as_character_externalptr, xp)			# #nocov",benign
Rcpp,R/tools.R,73,native_entry,"rcpp <- .Call(""getRcppVersionStrings"", PACKAGE=""Rcpp"")",benign
Rcpp,R/zzz.R,22,ns_hook,".onLoad <- function(libname, pkgname){",note
Rcpp,inst/discovery/cxx0x.R,51,fs_write,"writeLines( cxx0x.code, ""cxx0x.cpp"" )",benign
Rcpp,inst/discovery/cxx0x.R,53,system_call,"system( cmd, intern = TRUE )",note
Rcpp,inst/discovery/cxx0x.R,54,load_call,dyn.load( dll ),benign
Rcpp,inst/discovery/cxx0x.R,55,native_entry,"res <- tryCatch( .Call( ""cxx0x"" ), error = """" )",benign
Rcpp,inst/skeleton/rcpp_hello_world.R,3,native_entry,".Call(""rcpp_hello_world"", PACKAGE = ""@PKG@"")",benign
Rcpp,inst/skeleton/zzz.R,4,ns_hook,"## a load action, so this does not have to be placed in .onLoad() or evalqOnLoad().",benign
Rcpp,inst/tinytest/testRcppClass/R/load.R,48,ns_hook,"## a load action, so this does not have to be placed in .onLoad() or evalqOnLoad().",benign
Rcpp,inst/tinytest/testRcppClass/R/rcpp_hello_world.R,3,native_entry,".Call(""rcpp_hello_world_cpp"", PACKAGE = ""testRcppClass"")",benign
Rcpp,inst/tinytest/testRcppInterfaceExporter/R/RcppExports.R,6,native_entry,".Call(`_testRcppInterfaceExporter_test_cpp_interface`, x, fast)",benign
Rcpp,inst/tinytest/testRcppInterfaceExporter/R/RcppExports.R,11,native_entry,.Call(`_testRcppInterfaceExporter_RcppExport_registerCCallable`),benign
Rcpp,inst/tinytest/testRcppInterfaceExporter/R/exporter.R,11,ns_hook,".onLoad <- function(lib, pkg) {",benign
Rcpp,inst/tinytest/testRcppInterfaceUser/R/user.R,11,ns_hook,".onLoad <- function(lib, pkg) {",benign
Rcpp,inst/tinytest/testRcppModule/R/rcpp_hello_world.R,3,native_entry,".Call( ""rcpp_hello_world_cpp"", PACKAGE = ""testRcppModule"" )",benign
Rcpp,inst/tinytest/testRcppModule/R/zzz.R,3,ns_hook,"## a load action, so this does not have to be placed in .onLoad() or evalqOnLoad().",benign
Rcpp,inst/tinytest/testRcppPackage/R/rcpp_hello_world.R,2,native_entry,".Call(""rcpp_hello_world"", PACKAGE = ""testRcppPackage"")",benign
Rcpp,inst/tinytest/test_algorithm.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_as.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_attribute_package.R,19,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_attribute_package.R,27,fs_write,"file.copy(pkg, td, recursive = TRUE) # simpler direct path thanks to tinytest",benign
Rcpp,inst/tinytest/test_attribute_package.R,33,system_call,"invisible(system(cmd, intern=TRUE))",benign
Rcpp,inst/tinytest/test_attribute_package.R,36,pkg_install,"install.packages(pkgfile, ""templib"", repos = NULL, type = ""source"")",benign
Rcpp,inst/tinytest/test_attributes.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_attributes_extended.R,18,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_binary_package.R,21,Sys_getenv,".onTravis <- Sys.getenv(""TRAVIS"") != """"",benign
Rcpp,inst/tinytest/test_binary_package.R,23,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_binary_package.R,44,system_call,"system(paste(""sudo dpkg -i"", debfile))",benign
Rcpp,inst/tinytest/test_binary_package.R,61,system_call,"system(paste(""sudo dpkg --purge"", debpkg))",benign
Rcpp,inst/tinytest/test_client_package.R,22,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_client_package.R,32,fs_write,"#file.copy(system.file(""unitTests"", pkg, package = ""Rcpp""), td, recursive = TRUE)",benign
Rcpp,inst/tinytest/test_client_package.R,33,fs_write,"file.copy(pkg, td, recursive = TRUE) # simpler direct path thanks to tinytest",benign
Rcpp,inst/tinytest/test_client_package.R,38,system_call,system(cmd),benign
Rcpp,inst/tinytest/test_client_package.R,41,pkg_install,"install.packages(pkgfile, ""templib"", repos = NULL, type = ""source"")",benign
Rcpp,inst/tinytest/test_client_package.R,46,native_entry,"expect_error(.Call(""hello_world_ex"", PACKAGE = pkg), info = ""exception in client package"")",benign
Rcpp,inst/tinytest/test_coerce.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_compile_attributes_errors.R,18,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_compile_attributes_errors.R,31,fs_write,"writeLines(""Package: TestPkg"", file.path(tmpdir, ""DESCRIPTION""))",benign
Rcpp,inst/tinytest/test_cppfunction_errors.R,18,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_dataframe.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_date.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_date.R,177,Sys_getenv,"oldTZ <- Sys.getenv(""TZ"")",benign
Rcpp,inst/tinytest/test_date.R,179,Sys_setenv,"##Sys.setenv(TZ=""America/Chicago"")",benign
Rcpp,inst/tinytest/test_date.R,185,Sys_setenv,##Sys.setenv(TZ=oldTZ),benign
Rcpp,inst/tinytest/test_date.R,223,Sys_getenv,"oldTZ <- Sys.getenv(""TZ"")",benign
Rcpp,inst/tinytest/test_date.R,225,Sys_setenv,"##Sys.setenv(TZ=""UTC"")",benign
Rcpp,inst/tinytest/test_date.R,231,Sys_setenv,##Sys.setenv(TZ=oldTZ),benign
Rcpp,inst/tinytest/test_dispatch.R,21,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_embedded_r.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_environments.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_exceptions.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_exceptions_nocall.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_expose_class.R,19,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_expose_class.R,79,system_call,"system( paste(R, ""CMD build"", pkg_path) )",benign
Rcpp,inst/tinytest/test_expose_class.R,86,pkg_install,"install.packages(gz_name, templibdir, repos=NULL, type=""source"")",benign
Rcpp,inst/tinytest/test_function.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_global_rostream.R,19,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_global_rostream.R,70,fs_write,"writeLines(c(cfg, sprintf(ptr, ""A"")), file.path(src_path, ""ptrA.cpp""))",benign
Rcpp,inst/tinytest/test_global_rostream.R,71,fs_write,"writeLines(c(cfg, sprintf(ptr, ""B"")), file.path(src_path, ""ptrB.cpp""))",benign
Rcpp,inst/tinytest/test_global_rostream.R,72,fs_write,"writeLines(c(cfg, alig), file.path(src_path, ""alig.cpp""))",benign
Rcpp,inst/tinytest/test_global_rostream.R,73,fs_write,"writeLines(c(cfg, print), file.path(src_path, ""print.cpp""))",benign
Rcpp,inst/tinytest/test_global_rostream.R,74,fs_write,"writeLines(mkv, file.path(src_path, ""Makevars""))",benign
Rcpp,inst/tinytest/test_global_rostream.R,95,pkg_install,"install.packages(pkg_path, lib_path, repos=NULL, type=""source"")",benign
Rcpp,inst/tinytest/test_interface.R,19,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_interface.R,27,fs_write,"file.copy(system.file(""tinytest"", name, package = ""Rcpp""),",benign
Rcpp,inst/tinytest/test_interface.R,33,fs_write,"writeLines(config, file.path(src_path, ""src"", ""config.h""))",benign
Rcpp,inst/tinytest/test_interface.R,35,pkg_install,install.packages(,benign
Rcpp,inst/tinytest/test_interface.R,61,Sys_getenv,"old_libs_envvar <- Sys.getenv(""R_LIBS"")",benign
Rcpp,inst/tinytest/test_interface.R,62,Sys_setenv,"on.exit(Sys.setenv(R_LIBS = old_libs_envvar), add = TRUE)",benign
Rcpp,inst/tinytest/test_interface.R,65,Sys_setenv,"Sys.setenv(R_LIBS = paste(c(lib_path, old_lib_paths), collapse = sys_sep))",benign
Rcpp,inst/tinytest/test_internal_function.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_internal_function_cpp11.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_language.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_listof.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_matrix.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_misc.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_modref.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_module.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_module_client_package.R,30,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_module_client_package.R,40,fs_write,"file.copy(system.file(""tinytest"", ""testRcppClass"", package = ""Rcpp"") , td, recursive = TRUE)",benign
Rcpp,inst/tinytest/test_module_client_package.R,44,system_call,system( cmd ),benign
Rcpp,inst/tinytest/test_module_client_package.R,46,pkg_install,"install.packages( ""testRcppClass_0.1.tar.gz"", ""templib"", repos = NULL, type = ""source"" )",benign
Rcpp,inst/tinytest/test_na.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_packageversion.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_quickanddirty.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_rcpp_package_skeleton.R,19,Sys_getenv,".runThisTest <- Sys.getenv(""RunAllRcppTests"") == ""yes"" && Sys.getenv(""RunVerboseRcppTests"") == ""yes""",benign
Rcpp,inst/tinytest/test_rcpp_package_skeleton.R,70,eval_parse,"fn <- eval(parse(text=paste(code, collapse=""\n"")))",benign
Rcpp,inst/tinytest/test_rcpp_package_skeleton.R,88,system_call,"system( paste(R, ""CMD build"", pkg_path) )",benign
Rcpp,inst/tinytest/test_rcpp_package_skeleton.R,91,pkg_install,"install.packages(""foo_0.0.1.tar.gz"", file.path(path, ""templib""), repos=NULL, type=""source"")",benign
Rcpp,inst/tinytest/test_reference.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_rmath.R,20,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_robject.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_s4.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_sourcecpp_errors.R,18,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_sourcecpp_errors.R,23,fs_write,"writeLines(""int main() { return 0; }"", tmpfile)",benign
Rcpp,inst/tinytest/test_sourcecpp_errors.R,31,fs_write,"writeLines(""#include <Rcpp.h>"", tmpfile)",benign
Rcpp,inst/tinytest/test_stack.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_stats.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_string.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
Rcpp,inst/tinytest/test_subset.R,19,Sys_getenv,"if (Sys.getenv(""RunAllRcppTests"") != ""yes"") exit_file(""Set 'RunAllRcppTests' to 'yes' to run."")",benign
