"package","symbol","kind","signature","title"
"nflreadr","load_espn_qbr","function","function (seasons = most_recent_season(), summary_type = c(""season"", ""week""), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load ESPN's QBR"
"nflreadr","load_ff_opportunity","function","function (seasons = most_recent_season(), stat_type = c(""weekly"", ""pbp_pass"", ""pbp_rush""), model_version = c(""latest"", ""v1.0.0"")) NULL","Load Expected Fantasy Points"
"nflreadr","load_ff_playerids","function","function () NULL","Load Fantasy Player IDs"
"nflreadr","load_ff_rankings","function","function (type = c(""draft"", ""week"", ""all"")) NULL","Load Latest FantasyPros Rankings"
"nflreadr","load_from_url","function","function (url, ..., seasons = TRUE, nflverse = FALSE) NULL","Load any rds/csv/csv.gz/parquet file from a remote URL"
"nflreadr","load_ftn_charting","function","function (seasons = most_recent_season(), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load FTN Charting Data"
"nflreadr","load_injuries","function","function (seasons = most_recent_season(), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Injury Reports"
"nflreadr","load_nextgen_stats","function","function (seasons = TRUE, stat_type = c(""passing"", ""receiving"", ""rushing""), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Player Level Weekly NFL Next Gen Stats"
"nflreadr","load_officials","function","function (seasons = TRUE, file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Officials"
"nflreadr","load_participation","function","function (seasons = most_recent_season(), include_pbp = FALSE, file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Participation Data"
"nflreadr","load_pbp","function","function (seasons = most_recent_season(), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Play By Play"
"nflreadr","load_pfr_advstats","function","function (seasons = most_recent_season(), stat_type = c(""pass"", ""rush"", ""rec"", ""def""), summary_level = c(""week"", ""season""), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Advanced Stats from PFR"
"nflreadr","load_pfr_passing","function","function (seasons = TRUE) NULL","Load Advanced Passing Stats from PFR"
"nflreadr","load_player_stats","function","function (seasons = most_recent_season(), ..., summary_level = c(""week"", ""reg"", ""post"", ""reg+post""), file_type = getOption(""nflreadr.prefer"", default = ""rds""), stat_type = lifecycle::deprecated()) NULL","Load Player Level Stats"
"nflreadr","load_players","function","function (file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Players"
"nflreadr","load_rosters","function","function (seasons = most_recent_season(roster = TRUE), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Rosters"
"nflreadr","load_rosters_weekly","function","function (seasons = most_recent_season(roster = TRUE), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Weekly Rosters"
"nflreadr","load_schedules","function","function (seasons = TRUE) NULL","Load Game/Schedule Data"
"nflreadr","load_snap_counts","function","function (seasons = most_recent_season(), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Snap Counts from PFR"
"nflreadr","load_team_stats","function","function (seasons = most_recent_season(), ..., summary_level = c(""week"", ""reg"", ""post"", ""reg+post""), file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load Team Level Stats"
"nflreadr","load_teams","function","function (current = TRUE, file_type = getOption(""nflreadr.prefer"", default = ""rds"")) NULL","Load NFL Team Graphics, Colors, and Logos"
"nflreadr","load_trades","function","function (seasons = TRUE) NULL","Load Trades"
"nflreadr","most_recent_season","function","function (roster = FALSE) NULL","Get Latest Season"
"nflreadr","nflverse_download","function","function (..., folder_path = getOption(""nflreadr.download_path"", default = "".""), file_type = getOption(""nflreadr.prefer"", default = ""rds""), use_hive = file_type %in% c(""parquet"", ""csv""), .token = ""default"") NULL","Bulk download utilities via piggyback"
"nflreadr","nflverse_game_id","function","function (season, week, away, home) NULL","Compute nflverse Game Identifiers"
"nflreadr","nflverse_releases","function","function (.token = ""default"") NULL","List all available nflverse releases"
"nflreadr","nflverse_sitrep","function","function (pkg = c(""nflreadr"", ""nflfastR"", ""nflseedR"", ""nfl4th"", ""nflplotR"", ""nflverse""), recursive = TRUE, redact_path = TRUE) NULL","Get a Situation Report on System, nflverse/ffverse Package Versions and Dependencies"
"nflreadr","parquet_from_url","function","function (url) NULL","Load .parquet file from a remote connection"
"nflreadr","progressively","function","function (f, p = NULL) NULL","Progressively"
"nflreadr","qs_from_url","function","function (url) NULL","Load .qs file from a remote connection"
"nflreadr","raw_from_url","function","function (url) NULL","Load raw filedata from a remote connection"
"nflreadr","rbindlist_with_attrs","function","function (dflist) NULL","rbindlist but maintain attributes of last file"
"nflreadr","rds_from_url","function","function (url) NULL","Load .rds file from a remote connection"
"nflreadr","stat_mode","function","function (x, ..., na.rm = FALSE) NULL","Statistical Mode"
"nflseedR","compute_conference_seeds","function","function (teams, h2h = NULL, tiebreaker_depth = 3, .debug = FALSE, playoff_seeds = 7) NULL","Compute NFL Playoff Seedings using Game Results and Divisional Rankings"
"nflseedR","compute_division_ranks","function","function (games, teams = NULL, tiebreaker_depth = 3, .debug = FALSE, h2h = NULL) NULL","Compute NFL Division Rankings using Game Results"
"nflseedR","compute_draft_order","function","function (teams, games, h2h = NULL, tiebreaker_depth = 3, .debug = FALSE) NULL","Compute NFL Draft Order using Game Results and Divisional Rankings"
"nflseedR","fmt_pct_special","function","function (x) NULL","Format Numerical Values to Special Percentage Strings"
"nflseedR","load_schedules","reexport","function (seasons = TRUE) NULL","Objects exported from other packages"
"nflseedR","load_sharpe_games","function","function (...) NULL","Load Lee Sharpe's Games File"
"nflseedR","nfl_simulations","function","function (games, compute_results = nflseedR_compute_results, ..., playoff_seeds = 7L, simulations = 10000L, chunks = 8L, byes_per_conf = 1L, tiebreaker_depth = c(""SOS"", ""PRE-SOV"", ""RANDOM""), sim_include = c(""DRAFT"", ""REG"", ""POST""), verbosity = c(""MIN"", ""MAX"", ""NONE"")) NULL","Simulate an NFL Season"
"nflseedR","nfl_standings","function","function (games, ..., ranks = c(""CONF"", ""DIV"", ""DRAFT"", ""NONE""), tiebreaker_depth = c(""SOS"", ""PRE-SOV"", ""POINTS"", ""RANDOM""), playoff_seeds = NULL, verbosity = c(""MIN"", ""MAX"", ""NONE"")) NULL","Compute NFL Standings"
"nflseedR","nfl_standings_prettify","function","function (standings, ..., grp_by = c(""div"", ""conf"", ""nfl""), order_by = c(""div_rank"", ""conf_rank"", ""draft_rank""), reverse = FALSE) NULL","Compute Pretty NFL Standings Table"
"nflseedR","nflseedR_compute_results","function","function (teams, games, week_num, ...) NULL","Compute NFL Game Results in Season Simulations"
"nflseedR","simulate_nfl","function","function (nfl_season = NULL, process_games = NULL, ..., playoff_seeds = ifelse(nfl_season >= 2020, 7, 6), if_ended_today = FALSE, fresh_season = FALSE, fresh_playoffs = FALSE, tiebreaker_depth = 3, test_week = NULL, simulations = 1000, sims_per_round = max(ceiling(simulations/future::availableCores() * 2), 100), .debug = FALSE, print_summary = FALSE, sim_include = c(""DRAFT"", ""REG"", ""POST"")) NULL","Simulate an NFL Season"
"nflseedR","simulations_verify_fct","function","function (compute_results, ..., games = nflseedR::sims_games_example, teams = nflseedR::sims_teams_example) NULL","Verify Custom NFL Result Simulation Function"
"nflverse","%>%","reexport","function (lhs, rhs) NULL","Pipe operator"
"nflverse","nflverse_packages","function","function (include_self = FALSE) NULL","List all packages in the nflverse"
"nflverse","nflverse_sitrep","reexport","function (pkg = c(""nflreadr"", ""nflfastR"", ""nflseedR"", ""nfl4th"", ""nflplotR"", ""nflverse""), recursive = TRUE, redact_path = TRUE) NULL","Get a Situation Report on System, nflverse Package Versions and Dependencies"
"nflverse","nflverse_update","function","function (recursive = FALSE, repos = getOption(""repos""), devel = FALSE) NULL","Update nflverse Packages"
